OpenJDK 64-Bit Server VM warning: ignoring option PermSize=128m; support was removed in 8.0
OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=128m; support was removed in 8.0
2016-10-25 23:32:37,375 INFO  [main] util.VersionInfo: HBase 1.1.6
2016-10-25 23:32:37,378 INFO  [main] util.VersionInfo: Source code repository git://diocles.local/Volumes/hbase-1.1.6/hbase revision=2039d967835afd066676b83f0bcb722cc55fdde3
2016-10-25 23:32:37,382 INFO  [main] util.VersionInfo: Compiled by ndimiduk on Sun Aug 28 10:36:13 PDT 2016
2016-10-25 23:32:37,382 INFO  [main] util.VersionInfo: From source with checksum aab2aadd3111734a91c00b1549a56835
2016-10-25 23:32:38,990 INFO  [main] master.HMasterCommandLine: Starting a zookeeper cluster
2016-10-25 23:32:39,119 INFO  [main] server.ZooKeeperServer: Server environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2016-10-25 23:32:39,121 INFO  [main] server.ZooKeeperServer: Server environment:host.name=hbase-docker
2016-10-25 23:32:39,122 INFO  [main] server.ZooKeeperServer: Server environment:java.version=1.8.0_91
2016-10-25 23:32:39,122 INFO  [main] server.ZooKeeperServer: Server environment:java.vendor=Oracle Corporation
2016-10-25 23:32:39,122 INFO  [main] server.ZooKeeperServer: Server environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
2016-10-25 23:32:39,122 INFO  [main] server.ZooKeeperServer: Server environment:java.class.path=/opt/hbase/bin/../conf:/usr/lib/jvm/java-8-openjdk-amd64/lib/tools.jar:/opt/hbase/bin/..:/opt/hbase/bin/../lib/activation-1.1.jar:/opt/hbase/bin/../lib/aopalliance-1.0.jar:/opt/hbase/bin/../lib/apacheds-i18n-2.0.0-M15.jar:/opt/hbase/bin/../lib/apacheds-kerberos-codec-2.0.0-M15.jar:/opt/hbase/bin/../lib/api-asn1-api-1.0.0-M20.jar:/opt/hbase/bin/../lib/api-util-1.0.0-M20.jar:/opt/hbase/bin/../lib/asm-3.1.jar:/opt/hbase/bin/../lib/avro-1.7.4.jar:/opt/hbase/bin/../lib/commons-beanutils-1.7.0.jar:/opt/hbase/bin/../lib/commons-beanutils-core-1.8.0.jar:/opt/hbase/bin/../lib/commons-cli-1.2.jar:/opt/hbase/bin/../lib/commons-codec-1.9.jar:/opt/hbase/bin/../lib/commons-collections-3.2.2.jar:/opt/hbase/bin/../lib/commons-compress-1.4.1.jar:/opt/hbase/bin/../lib/commons-configuration-1.6.jar:/opt/hbase/bin/../lib/commons-daemon-1.0.13.jar:/opt/hbase/bin/../lib/commons-digester-1.8.jar:/opt/hbase/bin/../lib/commons-el-1.0.jar:/opt/hbase/bin/../lib/commons-httpclient-3.1.jar:/opt/hbase/bin/../lib/commons-io-2.4.jar:/opt/hbase/bin/../lib/commons-lang-2.6.jar:/opt/hbase/bin/../lib/commons-logging-1.2.jar:/opt/hbase/bin/../lib/commons-math-2.2.jar:/opt/hbase/bin/../lib/commons-math3-3.1.1.jar:/opt/hbase/bin/../lib/commons-net-3.1.jar:/opt/hbase/bin/../lib/disruptor-3.3.0.jar:/opt/hbase/bin/../lib/findbugs-annotations-1.3.9-1.jar:/opt/hbase/bin/../lib/guava-12.0.1.jar:/opt/hbase/bin/../lib/guice-3.0.jar:/opt/hbase/bin/../lib/guice-servlet-3.0.jar:/opt/hbase/bin/../lib/hadoop-annotations-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-auth-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-client-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-common-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-hdfs-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-mapreduce-client-app-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-mapreduce-client-common-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-mapreduce-client-core-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-mapreduce-client-jobclient-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-mapreduce-client-shuffle-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-yarn-api-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-yarn-client-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-yarn-common-2.5.1.jar:/opt/hbase/bin/../lib/hadoop-yarn-server-common-2.5.1.jar:/opt/hbase/bin/../lib/hbase-annotations-1.1.6-tests.jar:/opt/hbase/bin/../lib/hbase-annotations-1.1.6.jar:/opt/hbase/bin/../lib/hbase-client-1.1.6.jar:/opt/hbase/bin/../lib/hbase-common-1.1.6-tests.jar:/opt/hbase/bin/../lib/hbase-common-1.1.6.jar:/opt/hbase/bin/../lib/hbase-examples-1.1.6.jar:/opt/hbase/bin/../lib/hbase-hadoop-compat-1.1.6.jar:/opt/hbase/bin/../lib/hbase-hadoop2-compat-1.1.6.jar:/opt/hbase/bin/../lib/hbase-it-1.1.6-tests.jar:/opt/hbase/bin/../lib/hbase-it-1.1.6.jar:/opt/hbase/bin/../lib/hbase-prefix-tree-1.1.6.jar:/opt/hbase/bin/../lib/hbase-procedure-1.1.6.jar:/opt/hbase/bin/../lib/hbase-protocol-1.1.6.jar:/opt/hbase/bin/../lib/hbase-resource-bundle-1.1.6.jar:/opt/hbase/bin/../lib/hbase-rest-1.1.6.jar:/opt/hbase/bin/../lib/hbase-server-1.1.6-tests.jar:/opt/hbase/bin/../lib/hbase-server-1.1.6.jar:/opt/hbase/bin/../lib/hbase-shell-1.1.6.jar:/opt/hbase/bin/../lib/hbase-thrift-1.1.6.jar:/opt/hbase/bin/../lib/htrace-core-3.1.0-incubating.jar:/opt/hbase/bin/../lib/httpclient-4.2.5.jar:/opt/hbase/bin/../lib/httpcore-4.1.3.jar:/opt/hbase/bin/../lib/jackson-core-asl-1.9.13.jar:/opt/hbase/bin/../lib/jackson-jaxrs-1.9.13.jar:/opt/hbase/bin/../lib/jackson-mapper-asl-1.9.13.jar:/opt/hbase/bin/../lib/jackson-xc-1.9.13.jar:/opt/hbase/bin/../lib/jamon-runtime-2.3.1.jar:/opt/hbase/bin/../lib/jasper-compiler-5.5.23.jar:/opt/hbase/bin/../lib/jasper-runtime-5.5.23.jar:/opt/hbase/bin/../lib/java-xmlbuilder-0.4.jar:/opt/hbase/bin/../lib/javax.inject-1.jar:/opt/hbase/bin/../lib/jaxb-api-2.2.2.jar:/opt/hbase/bin/../lib/jaxb-impl-2.2.3-1.jar:/opt/hbase/bin/../lib/jcodings-1.0.8.jar:/opt/hbase/bin/../lib/jersey-client-1.9.jar:/opt/hbase/bin/../lib/jersey-core-1.9.jar:/opt/hbase/bin/../lib/jersey-guice-1.9.jar:/opt/hbase/bin/../lib/jersey-json-1.9.jar:/opt/hbase/bin/../lib/jersey-server-1.9.jar:/opt/hbase/bin/../lib/jets3t-0.9.0.jar:/opt/hbase/bin/../lib/jettison-1.3.3.jar:/opt/hbase/bin/../lib/jetty-6.1.26.jar:/opt/hbase/bin/../lib/jetty-sslengine-6.1.26.jar:/opt/hbase/bin/../lib/jetty-util-6.1.26.jar:/opt/hbase/bin/../lib/joni-2.1.2.jar:/opt/hbase/bin/../lib/jruby-complete-1.6.8.jar:/opt/hbase/bin/../lib/jsch-0.1.42.jar:/opt/hbase/bin/../lib/jsp-2.1-6.1.14.jar:/opt/hbase/bin/../lib/jsp-api-2.1-6.1.14.jar:/opt/hbase/bin/../lib/junit-4.12.jar:/opt/hbase/bin/../lib/leveldbjni-all-1.8.jar:/opt/hbase/bin/../lib/libthrift-0.9.0.jar:/opt/hbase/bin/../lib/log4j-1.2.17.jar:/opt/hbase/bin/../lib/metrics-core-2.2.0.jar:/opt/hbase/bin/../lib/netty-3.2.4.Final.jar:/opt/hbase/bin/../lib/netty-all-4.0.23.Final.jar:/opt/hbase/bin/../lib/paranamer-2.3.jar:/opt/hbase/bin/../lib/protobuf-java-2.5.0.jar:/opt/hbase/bin/../lib/servlet-api-2.5-6.1.14.jar:/opt/hbase/bin/../lib/servlet-api-2.5.jar:/opt/hbase/bin/../lib/slf4j-api-1.7.7.jar:/opt/hbase/bin/../lib/slf4j-log4j12-1.7.5.jar:/opt/hbase/bin/../lib/snappy-java-1.0.4.1.jar:/opt/hbase/bin/../lib/spymemcached-2.11.6.jar:/opt/hbase/bin/../lib/xmlenc-0.52.jar:/opt/hbase/bin/../lib/xz-1.0.jar:/opt/hbase/bin/../lib/zookeeper-3.4.6.jar:
2016-10-25 23:32:39,125 INFO  [main] server.ZooKeeperServer: Server environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
2016-10-25 23:32:39,125 INFO  [main] server.ZooKeeperServer: Server environment:java.io.tmpdir=/tmp
2016-10-25 23:32:39,125 INFO  [main] server.ZooKeeperServer: Server environment:java.compiler=<NA>
2016-10-25 23:32:39,125 INFO  [main] server.ZooKeeperServer: Server environment:os.name=Linux
2016-10-25 23:32:39,125 INFO  [main] server.ZooKeeperServer: Server environment:os.arch=amd64
2016-10-25 23:32:39,125 INFO  [main] server.ZooKeeperServer: Server environment:os.version=4.4.24-boot2docker
2016-10-25 23:32:39,125 INFO  [main] server.ZooKeeperServer: Server environment:user.name=root
2016-10-25 23:32:39,126 INFO  [main] server.ZooKeeperServer: Server environment:user.home=/root
2016-10-25 23:32:39,126 INFO  [main] server.ZooKeeperServer: Server environment:user.dir=/
2016-10-25 23:32:39,230 INFO  [main] server.ZooKeeperServer: Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /tmp/hbase-root/zookeeper/zookeeper_0/version-2 snapdir /tmp/hbase-root/zookeeper/zookeeper_0/version-2
2016-10-25 23:32:39,343 INFO  [main] server.NIOServerCnxnFactory: binding to port 0.0.0.0/0.0.0.0:2181
2016-10-25 23:32:39,825 INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181] server.NIOServerCnxnFactory: Accepted socket connection from /127.0.0.1:37008
2016-10-25 23:32:39,862 INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181] server.NIOServerCnxn: Processing stat command from /127.0.0.1:37008
2016-10-25 23:32:39,873 INFO  [Thread-2] server.NIOServerCnxn: Stat command output
2016-10-25 23:32:39,875 INFO  [main] zookeeper.MiniZooKeeperCluster: Started MiniZooKeeperCluster and ran successful 'stat' on client port=2181
2016-10-25 23:32:39,875 INFO  [main] master.HMasterCommandLine: Starting up instance of localHBaseCluster; master=1, regionserversCount=1
2016-10-25 23:32:39,894 INFO  [Thread-2] server.NIOServerCnxn: Closed socket connection for client /127.0.0.1:37008 (no session established for client)
2016-10-25 23:32:41,594 INFO  [main] regionserver.RSRpcServices: master/hbase-docker/172.17.0.2:0 server-side HConnection retries=350
2016-10-25 23:32:42,417 INFO  [main] ipc.SimpleRpcScheduler: Using deadline as user call queue, count=3
2016-10-25 23:32:42,524 INFO  [main] ipc.RpcServer: master/hbase-docker/172.17.0.2:0: started 10 reader(s) listening on port=35231
2016-10-25 23:32:42,752 INFO  [main] impl.MetricsConfig: loaded properties from hadoop-metrics2-hbase.properties
2016-10-25 23:32:42,814 INFO  [main] impl.MetricsSystemImpl: Scheduled snapshot period at 10 second(s).
2016-10-25 23:32:42,815 INFO  [main] impl.MetricsSystemImpl: HBase metrics system started
2016-10-25 23:32:42,944 WARN  [main] util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2016-10-25 23:32:43,427 INFO  [main] zookeeper.RecoverableZooKeeper: Process identifier=master:35231 connecting to ZooKeeper ensemble=hbase-docker:2181
2016-10-25 23:32:43,436 INFO  [main] zookeeper.ZooKeeper: Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2016-10-25 23:32:43,437 INFO  [main] zookeeper.ZooKeeper: Client environment:host.name=hbase-docker
2016-10-25 23:32:43,437 INFO  [main] zookeeper.ZooKeeper: Client environment:java.version=1.8.0_91
2016-10-25 23:32:43,437 INFO  [main] zookeeper.ZooKeeper: Client environment:java.vendor=Oracle Corporation
2016-10-25 23:32:43,437 INFO  [main] zookeeper.ZooKeeper: Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
